CountryName	CountryCode	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]
Other small states	OSS	40.60210348	40.53175836	40.51380616	40.5679131	40.60867741	40.58715221	40.60485398	40.58059554	40.41504346	..	..
Pacific island small states	PSS	13.21806854	13.29906542	13.30529595	13.32866044	13.35981308	13.41433022	13.41433022	13.41433022	13.40654206	..	..
Pakistan	PAK	46.65447281	46.875	46.71673931	45.80868618	45.7619863	45.71658364	46.61685347	46.78160025	47.06309672	..	..
Palau	PLW	10.86956522	10.86956522	10.86956522	10.86956522	10.86956522	10.86956522	10.86956522	10.86956522	10.86956522	..	..
Panama	PAN	29.99730966	29.92198009	30.02152273	29.98654829	30.01883239	30.48681733	30.44121603	30.36050578	30.36050578	..	..
Papua New Guinea	PNG	2.2744336	2.296515479	2.296515479	2.627743674	2.627743674	2.627743674	2.627743674	2.627743674	2.627743674	..	..
Paraguay	PRY	50.18877423	50.93128618	51.67379814	52.44651397	53.10848226	53.43569091	53.83840926	54.11527813	54.32922225	..	..
Peru	PER	18.153125	18.290625	18.4125	18.52734375	18.7078125	18.76796875	18.83125	19.0046875	19.0109375	..	..
Philippines	PHL	38.08230204	38.83690512	39.54120133	40.27903545	40.58087668	40.58087668	41.11748331	41.68762786	41.72116578	..	..
Poland	POL	51.92439526	52.09258292	50.49947767	50.93372511	50.99582082	47.17578686	48.26111093	47.44628045	47.05920773	..	..
Portugal	PRT	41.77325899	41.15010386	39.91472614	41.04624467	40.72278633	40.14630418	40.03712196	39.93885795	39.75982533	..	..
Post-demographic dividend	PST	36.81192504	36.31546021	36.06453187	35.81716456	35.38452917	34.94577165	35.11925741	35.18705959	34.78105216	..	..
Pre-demographic dividend	PRE	42.32296131	42.37778238	42.51278052	42.667963	42.59782149	42.76889609	41.6247724	42.02519438	41.81074875	..	..
Puerto Rico	PRI	22.66065389	21.9729425	21.30777903	21.48816234	21.66854566	21.83765502	22.01803833	22.18714769	22.2886133	..	..
Qatar	QAT	5.529715762	5.650301464	5.650301464	5.958656331	5.607235142	5.727820844	5.601205857	5.729543497	5.823428079	..	..
Romania	ROM	61.65753544	61.04443865	59.28922528	59.30404524	59.20629401	61.53444903	60.74640483	59.70350404	60.44863713	..	..
Russian Federation	RUS	13.16615989	13.15737092	13.15584446	13.15843626	13.15574954	13.06427907	13.10690016	13.08858164	13.24062535	..	..
Rwanda	RWA	72.26996352	73.08269153	73.1609242	73.26469396	73.3226591	73.12201054	73.62950953	73.60072963	74.68585326	..	..
Samoa	WSM	14.8409894	14.204947	13.60424028	13.07420495	12.33215548	12.36749117	12.36749117	12.36749117	12.36749117	..	..
San Marino	SMR	16.66666667	16.66666667	16.66666667	16.66666667	16.66666667	16.66666667	16.66666667	16.66666667	16.66666667	..	..
